Date,Applicant_Name,NGO_Name,City_Town_Village,Project_Name,Requested_Amount_PKR,Legitimate_Estimate_PKR,Fraud_Type,Fraud_Indicator,Population_Census_Record,Invoice_ID,Vendor_Name,Bank_Reference_No,Bank_Name,Is_Fraud
1/9/2023,Khadija Malik,Sahara Development Foundation,Faisalabad,Small Medical Camps,"Rs 2,102,000","Rs 2,102,000",Approved,Compliant with Guidelines,"3,691,999",INV-CHL80ZD8,United Medical & Relief Vendors,BR-UBL-3749982344,United Bank Limited,FALSE
6/12/2024,Sana Malik,Naya Umeed NGO,Bannu,Girls EDUCATION Drive,"Rs 84,000","Rs 84,000",Approved,Compliant with Guidelines,"2,098,231",INV-L35JRJ9R,EduServe Publishers,BR-FBL-6962242123,Faysal Bank,FALSE
10/24/2021,Nadia Mirza,Naya Umeed NGO,Sukkur,Clean Water & Sanitation Project,"Rs 138,300","Rs 138,300",Approved,Compliant with Guidelines,"1,625,467",INV-FXAMHV1F,Al-Faisal Supplies Ltd,BR-SCB-8597377344,Standard Chartered Pakistan,FALSE
5/17/2023,Rabia Ahmed,Roshan Welfare Trust,Kohat,Disaster Relief Rapid Response,"Rs 3,308,000","Rs 3,308,000",Approved,Compliant with Guidelines,"885,285",INV-TG3FIMLC,Al-Faisal Supplies Ltd,BR-ALF-9785179363,Bank Alfalah,FALSE
12/3/2024,Rabia Farooq,Sehat & Taleem Initiative,Mirpur Khas,Tree-Plantation & Greenery Initiative,"Rs 3,095,700","Rs 3,095,700",Approved,Compliant with Guidelines,"1,970,042",INV-1D613LY4,BlueSky Logistics Company,BR-NBP-3534099922,National Bank of Pakistan,FALSE
8/13/2023,Sana Ahmed,Sehat & Taleem Initiative,Multan,Covid-19 Awareness & Vaccination Support,"Rs 5,808,700","Rs 5,808,700",Approved,Compliant with Guidelines,"2,215,381",INV-AW8JHE5S,Al-Faisal Supplies,BR-ALF-1532210191,Bank Alfalah,FALSE
1/13/2024,Hira Butt,Green Villages Pakistan,Quetta,Community Health Camps,"Rs 11,468,000","Rs 11,468,000",Approved,Compliant with Guidelines,"1,565,546",INV-1KCJUVPC,EduServe Publishers,BR-MCB-7345374144,MCB Bank Limited,FALSE
11/21/2024,Bilal Shah,Green Villages Pakistan,Sukkur,Tree-Plantation & Greenery Initiative,"Rs 71,400","Rs 71,400",Approved,Compliant with Guidelines,"1,625,467",INV-7R1QOOHF,SafeHands Pharmaceuticals Ltd,BR-ABL-0142180071,Allied Bank,FALSE
9/20/2021,Zara Malik,Sahara Development Foundation,Faisalabad,Rural School Rehabilitation,"Rs 3,780,100","Rs 3,780,100",Approved,Compliant with Guidelines,"3,691,999",INV-M6NWMUFG,BlueSky Logistics Company,BR-NBP-5162618661,National Bank of Pakistan,FALSE
11/13/2024,Aisha Hussain,Naya Umeed NGO,Multan,Rural School Rehabilitation,"Rs 649,700","Rs 649,700",Approved,Compliant with Guidelines,"2,215,381",INV-5N5KXQHX,SafeHands Pharmaceuticals Ltd,BR-ALF-0769331244,Bank Alfalah,FALSE
2/10/2022,Imran Qureshi,Sahara Development Foundation,Lahore,Disaster Relief Rapid Response,"Rs 2,355,300","Rs 2,355,300",Approved,Compliant with Guidelines,"13,004,135",INV-VSQ3HEYK,EduServe Publishers,BR-NBP-8105529244,National Bank of Pakistan,FALSE
1/5/2021,Rabia Hussain,Sehat & Taleem Initiative,Jacobabad,Covid-19 Awareness & Vaccination Support,"Rs 368,800","Rs 368,789",Approved,Compliant with Guidelines,"778,521",INV-36QK3QHA,Metro Office Solutions,BR-NBP-0941343662,National Bank of Pakistan,FALSE
4/2/2021,Hassan Sheikh,Nishat Welfare Organization,Multan,Clean Water & Sanitation Project,"Rs 909,200","Rs 909,189",Approved,Compliant with Guidelines,"2,215,381",INV-YNSUA88N,EduServe Publishers,BR-HBL-6535587903,Habib Bank Limited,FALSE
12/6/2023,Imran Hussain,Sehat & Taleem Initiative,Dera Ismail Khan,Rural School Rehabilitation,"Rs 7,979,500","Rs 7,979,456",Approved,Compliant with Guidelines,"67,231",INV-XENFRRYB,Metro Office Solutions,BR-NBP-1745735829,National Bank of Pakistan,FALSE
7/29/2024,Sana Shah,Naya Umeed NGO,Faisalabad,Community Health Camps in small Towns,"Rs 739,700","Rs 739,686",Approved,Compliant with Guidelines,"3,691,999",INV-KXXKM79P,Sunrise Stationers & Books,BR-UBL-3712978986,United Bank Limited,FALSE
1/21/2024,Hira Sheikh,Sehat & Taleem Initiative,Sialkot,Community Health Camps in small Towns,"Rs 333,800","Rs 333,800",Approved,Compliant with Guidelines,"835,337",INV-IGC3J3YC,Metro Office Solutions,BR-UBL-4064162689,United Bank Limited,FALSE
2/14/2022,Bilal Shah,Roshan Welfare Trust,Faisalabad,Maternal and Child Health Outreach,"Rs 263,000","Rs 263,000",Approved,Compliant with Guidelines,"3,691,999",INV-4SSB1PBZ,EduServe Publishers,BR-SCB-3019570035,Standard Chartered Pakistan,FALSE
7/21/2021,Hassan Khan,Roshan Welfare Trust,Lahore,Clean Water & Sanitation Project,"Rs 4,533,400","Rs 4,533,400",Approved,Compliant with Guidelines,"13,004,135",INV-NH0C0IBZ,Al-Faisal Supplies Ltd,BR-UBL-5577699619,United Bank Limited,FALSE
11/7/2022,Hira Malik,Naya Umeed NGO,Kohat,Community Health Camps,"Rs 7,565,200","Rs 7,565,200",Approved,Compliant with Guidelines,"885,285",INV-B0YUCQEF,BlueSky Logistics Company,BR-NBP-8202976609,National Bank of Pakistan,FALSE
3/23/2023,Mehwish Butt,Sehat & Taleem Initiative,Rawalpindi,Clean Water & Sanitation Project,"Rs 148,000","Rs 148,000",Approved,Compliant with Guidelines,"3,357,612",INV-CU5M767J,PakTech Equipments,BR-NBP-7406289268,National Bank of Pakistan,FALSE
2/24/2022,Omar Hussain,Sehat & Taleem Initiative,Gujranwala,Disaster Relief Rapid Response ,"Rs 2,360,900","Rs 2,360,900",Approved,Compliant with Guidelines,"11,126,285",INV-Y3ZT3P6S,Fazal Constructions and Builders,BR-FBL-2037240189,Faysal Bank,FALSE
6/27/2024,Zara Raza,Sehat & Taleem Initiative,Zhob,Maternal and Child Health Centers,"Rs 3,835,200","Rs 3,835,200",Approved,Compliant with Guidelines,"71,843",INV-TTUSWETY,Nishat Pharmacy Ltd,BR-ASK-9676680619,Askari Bank,FALSE
1/12/2021,Bilal Sheikh,Sahara Development Foundation,Rawalpindi,Clean Water & Sanitation Project,"Rs 641,800","Rs 641,800",Approved,Compliant with Guidelines,"3,357,612",INV-XLKDYP4R,Sunrise Stationers & Books,BR-HBL-0253062010,Habib Bank Limited,FALSE
9/19/2024,Sana Qureshi,Sehat & Taleem Initiative,Karachi,Livelihoods: Small Business Grants,"Rs 1,375,100","Rs 662,102",Grant Application Fraud,Invoices lack vendor contact details,"18,870,000",INV-Z909O08N,PakTech Equipments Ltd,BR-MEBL-2866620504,Meezan Bank,TRUE
8/3/2024,Fahad Malik,Green Villages Pakistan,Quetta,Covid-19 Awareness & Vaccination Support,"Rs 1,406,500","Rs 1,406,500",Approved,Compliant with Guidelines,"1,565,546",INV-GK4Y32HM,PakTech Equipments Ltd,BR-UBL-2594016689,United Bank Limited,FALSE
9/10/2024,Mehwish Anwar,Sehat & Taleem Initiative,Jacobabad,Girls EDUCATION Drive,"Rs 3,294,100","Rs 3,294,100",Approved,Compliant with Guidelines,"1,871,843",INV-4267YURN,EduServe Publishers,BR-MCB-6463560015,MCB Bank Limited,FALSE
8/15/2021,Fatima Mirza,Sehat & Taleem Initiative,Sialkot,Rural Boys High School Rehabilitation,"Rs 2,198,200","Rs 2,198,200",Approved,Compliant with Guidelines,"835,337",INV-GYNKIV90,Govt.Education Department,BR-MCB-9339279852,MCB Bank Limited,FALSE
3/10/2021,Yasir Khan,Naya Umeed NGO,Abbottabad,Covid-19 Awareness & Vaccination Support,"Rs 1,732,200","Rs 1,178,153",Expense/Reimbursement Fraud,Beneficiary counts inconsistent,"234,395",INV-QE5EEAZV,SafeHands Pharmaceuticals Ltd,BR-MEBL-7571937361,Meezan Bank,TRUE
8/2/2023,Omar Raza,Green Villages Pakistan,Sialkot,Vocational Art&Craft Training Centers for Girls,"Rs 7,493,200","Rs 7,493,200",Approved,Compliant with Guidelines,"835,337",INV-3MYSRTTY,GreenLeaf Construction,BR-HBL-8641199806,Habib Bank Limited,FALSE
5/15/2023,Hira Malik,Sehat & Taleem Initiative,Bannu,Tree-Plantation & Greenery Initiative,"Rs 1,796,100","Rs 1,796,100",Approved,Compliant with Guidelines,"1,796,151",INV-1D3PYDRO,Naheed Begum Garden & Decore,BR-FBL-0892651813,Faysal Bank,FALSE
1/9/2023,Nadia Sheikh,Naya Umeed NGO,Faisalabad,Maternal and Child Health Outreach,"Rs 11,986,900","Rs 11,986,900",Approved,Compliant with Guidelines,"3,691,999",INV-JN01N3P6,PakTech Equipments Ltd,BR-HBL-0882202671,Habib Bank Limited,FALSE
8/6/2021,Khadija Butt,Roshan Welfare Trust,Mingora,Community Health Camps in small Towns,"Rs 98,100","Rs 98,100",Approved,Compliant with Guidelines,"28,231",INV-TIVMDH1J,United Medical & Relief Vendors,BR-ASK-3360120432,Askari Bank,FALSE
6/22/2023,Bilal Anwar,Green Villages Pakistan,Swabi,Livelihoods: Small Business Grants,"Rs 63,900","Rs 63,900",Approved,Compliant with Guidelines,"1,970,042",INV-Q3VYAR63,Metro Office Solutions,BR-FBL-9713617451,Faysal Bank,FALSE
10/8/2022,Zara Abbasi,Green Villages Pakistan,Peshawar,Disaster Relief Rapid Response,"Rs 2,773,800","Rs 1,200,383",Expense/Reimbursement Fraud,Vendor is related party,"1,905,975",INV-K8HCD1SD,SafeHands Pharmaceuticals Ltd,BR-SCB-9485790335,Standard Chartered Pakistan,TRUE
6/8/2021,Omar Saleem,Nishat Welfare Organization,Sialkot,Community Education School for Women,"Rs 1,301,000","Rs 1,301,000",Approved,Compliant with Guidelines,"835,337",INV-WLL5V2H3,Sunrise Stationers & Books,BR-ABL-7420162489,Allied Bank,FALSE
8/25/2023,Nabeel Anwar,Naya Umeed NGO,Muzafarabad,Clean Water & Sanitation Project,"Rs 659,000","Rs 659,000",Approved,Compliant with Guidelines,"16,285",INV-19EYINYC,hameed Water Supplier,BR-MEBL-6090705703,Meezan Bank,FALSE
7/10/2023,Fahad Ahmed,Green Villages Pakistan,Ranikhait Village,Covid-19 Awareness & Vaccination Support,"Rs 805,200","Rs 805,100",Approved,Compliant with Guidelines,"8,231",INV-MVOLHBFL,Nishat Pharmacy Ltd,BR-ASK-3355129424,Askari Bank,FALSE
11/26/2024,Imran Malik,Roshan Welfare Trust,Sargodha,Maternal and Child Health Outreach,"Rs 785,700","Rs 785,700",Approved,Compliant with Guidelines,"1,970,042",INV-4E5IZB1E,Metro Office Solutions,BR-ABL-4600620422,Allied Bank,FALSE
4/18/2023,Khadija Saleem,Sahara Development Foundation,Multan,Rural School Rehabilitation,"Rs 438,100","Rs 438,056",Approved,Compliant with Guidelines,"2,215,381",INV-HGUAALZG,Sunrise Stationers & Books,BR-HBL-3537041169,Habib Bank Limited,FALSE
1/24/2021,Mubashir Sheikh,Green Villages Pakistan,Sukkur,Covid-19 Awareness & Vaccination Support,"Rs 5,389,600","Rs 5,389,600",Approved,Compliant with Guidelines,"1,625,467",INV-CYGO6ZUD,Saeed Medical Store,BR-MEBL-9110852017,Meezan Bank,FALSE
7/21/2023,Nadia Anwar,Sahara Development Foundation,Multan,Livelihoods: Small Business Grants,"Rs 64,100","Rs 64,052",Approved,Compliant with Guidelines,"2,215,381",INV-00Q696J5,Metro Office Solutions,BR-MCB-8241308531,MCB Bank Limited,FALSE
9/8/2023,Zara Saleem,Green Pakistan Welfare,Chagai,Rural School Rehabilitation,"Rs 5,461,500","Rs 5,461,500",Approved,Compliant with Guidelines,"23,652",INV-KK1R6L5A,Bright Future Printers,BR-HBL-4066884000,Habib Bank Limited,FALSE
9/29/2023,Fahad Khan,Sahara Development Foundation,Chagai,Tree-Plantation & Greenery Initiative,"Rs 275,300","Rs 275,205",Approved,Compliant with Guidelines,"23,652",INV-YH304A8P,Naheed Folwers and Garden,BR-SCB-2384454161,Standard Chartered Pakistan,FALSE
1/4/2021,Hassan Javed,Roshan Welfare Trust,Gujrat,Livelihoods: Small Business Grants,"Rs 394,900","Rs 394,900",Approved,Compliant with Guidelines,"70,042",INV-B6SP0Y3R,ALLAH Wala Chickens,BR-ABL-8460650295,Allied Bank,FALSE
11/30/2023,Imran Shah,Sehat & Taleem Initiative,Rawalpindi,Buildiing Small Books Install,"Rs 60,400","Rs 60,350",Approved,Compliant with Guidelines,"3,357,612",INV-6PNBXU6O,Sunrise Stationers & Books,BR-NBP-0199296464,National Bank of Pakistan,FALSE
1/13/2021,Usman Mirza,Sahara Development Foundation,Rawalpindi,Rural School Rehabilitation,"Rs 3,571,100","Rs 3,571,100",Approved,Compliant with Guidelines,"3,357,612",INV-RU08L4PJ,Al-Faisal Supplies,BR-SCB-9532304574,Standard Chartered Pakistan,FALSE
12/16/2021,Yasir Javed,Nishat Welfare Organization,Sukkur,Rural Covt. School Rehabilitation ,"Rs 4,222,800","Rs 4,222,800",Approved,Compliant with Guidelines,"1,625,467",INV-5JU26SPH,Sunrise Stationers & Books,BR-ABL-3949708652,Allied Bank,FALSE
6/10/2022,Fahad Anwar,Sahara Development Foundation,Abbottabad,Livelihoods: Small Business Grants,"Rs 75,300","Rs 75,300",Approved,Compliant with Guidelines,"234,395",INV-39BMTH2I,Fishery Dwpartment,BR-ALF-9351418709,Bank Alfalah,FALSE
3/2/2021,Hira Saleem,Sahara Development Foundation,Sialkot,Tree-Plantation & Greenery Initiative,"Rs 60,200","Rs 60,031",Approved,Compliant with Guidelines,"835,337",INV-418I3WUG,Saeed Garden and Plantations,BR-NBP-6125427499,National Bank of Pakistan,FALSE
5/24/2023,Fahad Qureshi,Roshan Welfare Trust,Lahore,Covid-19 Awareness & Vaccination Support,"Rs 64,400","Rs 64,355",Approved,Compliant with Guidelines,"13,004,135",INV-D4C9VXK2,PakTech Equipments Ltd,BR-NBP-6927786190,National Bank of Pakistan,FALSE
8/9/2023,Mehwish Abbasi,Sehat & Taleem Initiative,Rawalpindi,Tree-Plantation & Greenery Initiative,"Rs 698,000","Rs 698,000",Approved,Compliant with Guidelines,"3,357,612",INV-P7B4HJKW,Al-Faisal Plants,BR-NBP-2561657221,National Bank of Pakistan,FALSE
5/6/2023,Bilal Ahmed,Naya Umeed NGO,Lahore,Tree-Plantation & Greenery Initiative,"Rs 164,100","Rs 164,100",Approved,Compliant with Guidelines,"13,004,135",INV-ZG58XYJW,Al-Faisal Plants,BR-ASK-2537737655,Askari Bank,FALSE
6/1/2023,Fatima Qureshi,Nishat Welfare Organization,Multan,Livelihoods: Small Business Grants,"Rs 80,600","Rs 80,600",Approved,Compliant with Guidelines,"2,215,381",INV-MNNVUM2E,MASHA ALLAH Chickens,BR-ASK-4712988889,Askari Bank,FALSE
12/13/2024,Sana Sheikh,Naya Umeed NGO,Karachi,Maternal and Child Health Outreach,"Rs 129,400","Rs 129,400",Approved,Compliant with Guidelines,"18,870,000",INV-3K59S7V5,Bright Future Printers,BR-UBL-0142716136,United Bank Limited,FALSE
7/4/2021,Fahad Anwar,Sehat & Taleem Initiative,Peshawar,Livelihoods: Small Business Grants,"Rs 2,069,700","Rs 2,069,700",Approved,Compliant with Guidelines,"1,905,975",INV-H5HOA7WK,Metro Office Solutions,BR-ABL-8918218512,Allied Bank,FALSE
2/15/2024,Khadija Javed,Sahara Development Foundation,Abbottabad,Community Health Awareness Camp,"Rs 11,581,700","Rs 11,580,700",Approved,Compliant with Guidelines,"234,395",INV-0G8F9PRN,Sunrise Stationers & Books,BR-ALF-4223778928,Bank Alfalah,FALSE
8/10/2023,Fahad Ahmed,Sahara Development Foundation,Faisalabad,Tree-Plantation & Greenery Initiative,"Rs 107,100","Rs 107,100",Approved,Compliant with Guidelines,"3,691,999",INV-ZIHZVZGM,Jameel Plants,BR-UBL-0138293618,United Bank Limited,FALSE
5/28/2024,Mehwish Mirza,Sahara Development Foundation,Rawalpindi,Clean Water & Sanitation Project,"Rs 4,914,000","Rs 4,914,000",Approved,Compliant with Guidelines,"3,357,612",INV-HBAEOM43,Majeed Pani Wala,BR-FBL-5287358061,Faysal Bank,FALSE
12/5/2022,Nadia Shah,Sahara Development Foundation,Peshawar,Maternal and Child Health Outreach,"Rs 1,354,900","Rs 1,354,900",Approved,Compliant with Guidelines,"1,905,975",INV-1YY31W3L,Metro Office Solutions,BR-SCB-2469625891,Standard Chartered Pakistan,FALSE
3/26/2023,Fahad Butt,Green Villages Pakistan,Sargodha,Polio Awareness & Vaccination Support,"Rs 5,412,400","Rs 5,412,400",Approved,Compliant with Guidelines,"1,871,843",INV-1S6EQXXC,SafeHands Pharmaceuticals Ltd,BR-ASK-7366547512,Askari Bank,FALSE
7/20/2021,Bilal Khan,Roshan Welfare Trust,Gujrat,Maternal and Child Health Outreach,"Rs 5,066,700","Rs 5,066,700",Approved,Compliant with Guidelines,"70,042",INV-OGN378VP,Metro Office Solutions,BR-HBL-0313905845,Habib Bank Limited,FALSE
1/30/2023,Bilal Raza,Naya Umeed NGO,Mingora,Polio Awareness & Vaccination Support,"Rs 388,600","Rs 388,600",Approved,Compliant with Guidelines,"28,231",INV-KDI2QG6T,Metro Office Solutions,BR-MEBL-0985279051,Meezan Bank,FALSE
7/19/2023,Mehwish Abbasi,Roshan Welfare Trust,Sukkur,Rural School Rehabilitation,"Rs 1,048,000","Rs 1,048,000",Approved,Compliant with Guidelines,"1,625,467",INV-WGQIO1MG,Sunrise Stationers & Books,BR-SCB-9924683120,Standard Chartered Pakistan,FALSE
7/7/2021,Mehwish Butt,Roshan Welfare Trust,Sialkot,Vocational Training for Youth,"Rs 376,400","Rs 376,400",Approved,Compliant with Guidelines,"835,337",INV-2FOL4VFZ,PakTech Equipments Ltd,BR-MCB-9604737386,MCB Bank Limited,FALSE
3/30/2022,Fahad Malik,Sahara Development Foundation,Sukkur,Girls EDUCATION Drive,"Rs 350,100","Rs 350,100",Approved,Compliant with Guidelines,"1,625,467",INV-3Z4LB0FM,Sunrise Stationers & Books,BR-MEBL-7968180957,Meezan Bank,FALSE
10/14/2022,Imran Anwar,Naya Umeed NGO,Karachi,Tree-Plantation & Greenery Initiative,"Rs 356,200","Rs 356,200",Approved,Compliant with Guidelines,"18,870,000",INV-ZPSCTPN7,Al-Naz Flowers,BR-HBL-3007430110,Habib Bank Limited,FALSE
10/10/2023,Mubashir Sheikh,Sehat & Taleem Initiative,Sukkur,Covid-19 Awareness & Vaccination Support,"Rs 282,900","Rs 282,900",Approved,Compliant with Guidelines,"1,625,467",INV-F43RSASV,United Medical & Relief Vendors,BR-MEBL-0097191964,Meezan Bank,FALSE
4/30/2024,Aisha Farooq,Sahara Development Foundation,Ormara,Maternal and Child Health Outreach,"Rs 888,100","Rs 888,051",Approved,Compliant with Guidelines,"65,222",INV-7ZP3UFR4,Al-Faisal Supplies Ltd,BR-FBL-9611582751,Faysal Bank,FALSE
1/16/2021,Mehwish Sheikh,Roshan Welfare Trust,Quetta,Covid-19 Awareness & Vaccination Support,"Rs 2,680,900","Rs 2,680,900",Approved,Compliant with Guidelines,"1,565,546",INV-E5XFFFGF,Al-Faisal Supplies Ltd,BR-HBL-8676874819,Habib Bank Limited,FALSE
5/4/2024,Fahad Hussain,Sehat & Taleem Initiative,Sukkur,Solar Panel Systems in Rural Areas,"Rs 350,500","Rs 350,500",Approved,Compliant with Guidelines,"1,625,467",INV-WUOCS224,Metro Office Solutions,BR-MCB-2222048175,MCB Bank Limited,FALSE
9/4/2021,Sana Shah,Roshan Welfare Trust,Swabi,Clean Water & Sanitation Project,"Rs 512,300","Rs 512,300",Approved,Compliant with Guidelines,"1,970,042",INV-5RUKCASS,SafeHands Pharmaceuticals Ltd,BR-SCB-0951787754,Standard Chartered Pakistan,FALSE
6/4/2021,Nadia Anwar,Green Villages Pakistan,Peshawar,Maternal and Child Health Outreach,"Rs 130,000","Rs 130,000",Approved,Compliant with Guidelines,"1,905,975",INV-B1DINDLF,Metro Office Solutions,BR-ALF-6627475503,Bank Alfalah,FALSE
11/27/2022,Fatima Shah,Sehat & Taleem Initiative,Quetta,Clean Water & Sanitation Project,"Rs 835,900","Rs 835,900",Approved,Compliant with Guidelines,"1,565,546",INV-4FW00R3F,Metro Office Solutions,BR-ASK-5665834470,Askari Bank,FALSE
3/24/2023,Khadija Farooq,Sehat & Taleem Initiative,Peshawar,Rural School Rehabilitation,"Rs 120,600","Rs 120,600",Approved,Compliant with Guidelines,"1,905,975",INV-PPSYAZHX,Metro Office Solutions,BR-ALF-5675378202,Bank Alfalah,FALSE
3/1/2021,Yasir Raza,Roshan Welfare Trust,Abbottabad,Disaster Relief Rapid Response,"Rs 4,144,100","Rs 4,144,100",Approved,Compliant with Guidelines,"234,395",INV-524GPZBO,GreenLeaf Construction,BR-SCB-7857669406,Standard Chartered Pakistan,FALSE
3/14/2024,Ali Mirza,Sehat & Taleem Initiative,Umerkot,Tree-Plantation & Greenery Initiative,"Rs 70,000","Rs 70,000",Approved,Compliant with Guidelines,"208,491",INV-U22KB8OH,Bright Future Greenhouse,BR-MEBL-3693930105,Meezan Bank,FALSE
11/18/2023,Khadija Anwar,Naya Umeed NGO,Peshawar,Vocational Training for Youth,"Rs 186,000","Rs 186,000",Approved,Compliant with Guidelines,"1,905,975",INV-038Z2FS1,Sunrise Stationers & Books,BR-UBL-3638210783,United Bank Limited,FALSE
4/20/2023,Bilal Raza,Sehat & Taleem Initiative,Karachi,Vocational IT-Training for Youth,"Rs 5,830,700","Rs 5,830,677",Approved,Compliant with Guidelines,"18,870,000",INV-CD4ZYEFG,Sony Computer Supplies,BR-ABL-0376333864,Allied Bank,FALSE
1/7/2022,Hassan Mirza,Roshan Welfare Trust,Quetta,Vocational Training for Youth,"Rs 2,525,600","Rs 2,525,600",Approved,Compliant with Guidelines,"1,565,546",INV-6HQYCYW5,EduServe Publishers,BR-ASK-7938746374,Askari Bank,FALSE
8/29/2022,Mubashir Qureshi,Nishat Welfare Organization,Lahore,Solar Panel Systems in Rural Areas,"Rs 70,500","Rs 70,500",Approved,Compliant with Guidelines,"13,004,135",INV-06KLI7V1,Sony Electronics Company,BR-MEBL-4857777319,Meezan Bank,FALSE
11/13/2024,Nadia Ahmed,Sahara Development Foundation,Mirpur Khas,Covid-19 Awareness & Vaccination Support,"Rs 792,200","Rs 792,200",Approved,Compliant with Guidelines,"208,491",INV-B9J52OYY,Nishat Pharmacy Ltd,BR-FBL-8478068788,Faysal Bank,FALSE
11/30/2023,Sana Butt,Green Villages Pakistan,Rawalpindi,Disaster Relief Rapid Response,"Rs 9,453,600","Rs 9,453,583",Approved,Compliant with Guidelines,"3,357,612",INV-UUL0HHGW,BlueSky Logistics Company,BR-NBP-7965793173,National Bank of Pakistan,FALSE
1/20/2022,Nadia Farooq,Green Pakistan Welfare,Turbat,Maternal and Child Health Outreach,"Rs 3,931,800","Rs 3,931,721",Approved,Compliant with Guidelines,"268,625",INV-1YQT061A,SafeHands Pharmaceuticals Ltd,BR-ABL-6596186300,Allied Bank,FALSE
5/5/2024,Sana Mirza,Green Villages Pakistan,Sialkot,Livelihoods: Small Business Grants,"Rs 514,000","Rs 514,000",Approved,Compliant with Guidelines,"835,337",INV-I9XDULVN,Al-Hamad Dairy Business,BR-FBL-2050115382,Faysal Bank,FALSE
10/13/2024,Sana Abbasi,Roshan Welfare Trust,Faisalabad,Vocational Training for Youth,"Rs 295,900","Rs 294,900",Approved,Compliant with Guidelines,"3,691,999",INV-J1MNYW0Y,PakTech Equipments Ltd,BR-FBL-3729832120,Faysal Bank,FALSE
2/6/2021,Mehwish Butt,Naya Umeed NGO,Lahore,Small Books Install,"Rs 12,017,500","Rs 12,017,478",Approved,Compliant with Guidelines,"13,004,135",INV-9ONSRHDV,Sunrise Stationers & Books,BR-UBL-7700307280,United Bank Limited,FALSE
6/5/2021,Sana Mirza,Sehat & Taleem Initiative,Quetta,Small Business Grants,"Rs 69,600","Rs 69,600",Approved,Compliant with Guidelines,"1,565,546",INV-V2XB402N,GreenLeaf Construction,BR-FBL-5511133686,Faysal Bank,FALSE
12/25/2022,Yasir Shah,Green Villages Pakistan,Karachi,Tree-Plantation & Greenery Initiative,"Rs 1,608,800","Rs 1,608,769",Approved,Compliant with Guidelines,"18,870,000",INV-1TFRSA8Z,PakTech Equipments Ltd,BR-FBL-0190083928,Faysal Bank,FALSE
6/29/2022,Aisha Khan,Green Villages Pakistan,Abbottabad,Clean Water & Sanitation Project,"Rs 122,300","Rs 122,300",Approved,Compliant with Guidelines,"234,395",INV-3KEYYN2W,SafeHands Pharmaceuticals Ltd,BR-MEBL-0820626801,Meezan Bank,FALSE
7/17/2022,Aisha Khan,Sahara Development Foundation,Sialkot,Awareness & Vaccination Support,"Rs 590,700","Rs 590,700",Approved,Compliant with Guidelines,"835,337",INV-S334KCCN,Bright Future Printers ,BR-HBL-6904501902,Habib Bank Limited,FALSE
2/12/2024,Nabeel Malik,Sehat & Taleem Initiative,Abbottabad,Clean Water & Sanitation Project,"Rs 1,344,100","Rs 1,344,100",Approved,Compliant with Guidelines,"234,395",INV-KQE4DWZ7,BlueSky Logistics Company,BR-SCB-4994442474,Standard Chartered Pakistan,FALSE
8/14/2023,Nadia Ahmed,Sahara Development Foundation,Multan,Clean Water & Sanitation Project,"Rs 4,645,400","Rs 4,645,355",Approved,Compliant with Guidelines,"2,215,381",INV-R5P8AACJ,Metro Office Solutions,BR-ABL-3260291382,Allied Bank,FALSE
5/8/2021,Fatima Anwar,Sehat & Taleem Initiative,Multan,Rural School Rehabilitation,"Rs 165,800","Rs 165,800",Approved,Compliant with Guidelines,"2,215,381",INV-CJTDAKXV,Metro Office Solutions,BR-ALF-7710323285,Bank Alfalah,FALSE
6/29/2021,Sana Raza,Sehat & Taleem Initiative,Faisalabad,Clean Water & Sanitation Project,"Rs 298,800","Rs 298,800",Approved,Compliant with Guidelines,"3,691,999",INV-7UO4G4IQ,Metro Office Solutions,BR-UBL-1268269363,United Bank Limited,FALSE
9/9/2024,Yasir Khan,Roshan Welfare Trust,Faisalabad,Disaster Relief Rapid Response,"Rs 223,200","Rs 223,200",Approved,Compliant with Guidelines,"3,691,999",INV-X3BID6V1,GreenLeaf Plants,BR-HBL-4124843216,Habib Bank Limited,FALSE
2/27/2024,Sana Mirza,Green Villages Pakistan,Multan,Tree-Plantation & Greenery Initiative,"Rs 5,718,800","Rs 5,718,800",Approved,Compliant with Guidelines,"2,215,381",INV-4DVVPGB8,United Medical & Relief Vendors,BR-MCB-7284199429,MCB Bank Limited,FALSE
3/10/2024,Sana Khan,Sahara Development Foundation,Sukkur,Solar Panel Systems in Rural Areas,"Rs 2,131,400","Rs 2,131,400",Approved,Compliant with Guidelines,"1,625,467",INV-J3CT5Q51,United Medical & Relief Vendors,BR-ABL-6488405058,Allied Bank,FALSE
7/20/2023,Bilal Malik,Naya Umeed NGO,Karachi,Vocational Training for Youth,"Rs 755,100","Rs 755,100",Approved,Compliant with Guidelines,"18,870,000",INV-QW5259GM,BlueSky Logistics Company,BR-UBL-3617736471,United Bank Limited,FALSE
3/19/2023,Yasir Butt,Sahara Development Foundation,Quetta,Livelihoods: Small Business Grants in Dairy,"Rs 5,518,700","Rs 5,518,651",Approved,Compliant with Guidelines,"1,565,546",INV-3UREV2Z1,Malik Constructions,BR-FBL-1295858793,Faysal Bank,FALSE
